Account Details For:,
Account No.:,072-901234-5
Account Type:,DBS Current Account
Available Balance:,8452.30
Ledger Balance:,8452.30
,
Transaction Date,Reference,Debit Amount,Credit Amount,Transaction Ref1,Transaction Ref2,Transaction Ref3
02 Mar 2026,ITR,,45.00,PAYNOW TRANSFER,FROM: TAN WEI MING,OTHR
03 Mar 2026,ITR,,90.00,PAYNOW TRANSFER,FROM: PRIYA NAIR 91234568,OTHR
04 Mar 2026,IBG,,45.00,INWARD CREDIT,ARJUN SHARMA,MATCH FEE
05 Mar 2026,ITR,,25.00,PAYNOW TRANSFER,REF: DKY,OTHR
06 Mar 2026,ICT,120.00,,FUND TRANSFER,TO: GROUND BOOKING,OTHR
07 Mar 2026,ITR,,135.00,PAYNOW TRANSFER,FROM: HARISH KUMAR,SUBS Q1
09 Mar 2026,ITR,,30.00,PAYNOW TRANSFER,FROM: UNKNOWN SENDER,OTHR
10 Mar 2026,IBG,,45.00,INWARD CREDIT,BENJAMIN LOW,OTHR
11 Mar 2026,ITR,,200.00,PAYNOW TRANSFER,FROM: SPONSOR PTE LTD,SPONSORSHIP
12 Mar 2026,ITR,,45.00,PAYNOW TRANSFER,FROM: RAJESH IYER,OTHR
13 Mar 2026,ICT,80.50,,FUND TRANSFER,TO: EQUIPMENT SUPPLIER,OTHR
14 Mar 2026,ITR,,20.00,PAYNOW TRANSFER,FROM: SITI NURHALIZA,PARTIAL
Total Credit:,,,,780.00,,
Total Debit:,,200.50,,,,
End of Transaction Details,,,,,,
